biome * ffffff ffffff ffffff
biome 196 ffffff 80b497 60a17b
biome 197 ffffff 88b977 6aa755
biome 198 ffffff 90b682 74a362
biome 199 ffffff 70c15b 4cb031
biome 200 ffffff 7cbd6b 5bab46
biome 201 ffffff 72c250 4eb224
biome 202 ffffff b9b75b a6a432
biome 203 ffffff 84b68d 65a371
biome 204 ffffff 7cbd6b 5bab46
biome 205 e0ffae 5c694e 496137
biome 206 ffffff 90b682 74a362
biome 207 ffffff 8eb971 71a74d
biome 208 ffffff 79c05a 59ae30
biome 210 2e535f 404840 405340
biome 211 ffffff 8eb971 71a74d
biome 212 0077ee 55ff81 66ffc5
biome 213 cc1188 6d4189 7c6d87
biome 215 70db70 a0b676 87a353
biome 216 ffffff 8eb971 71a74d
biome 220 ffffff b2b762 9ea43b
biome 221 ffffff b2b762 9ea43b
biome 238 ffffff c6ff54 c6ff54
biome 239 ffffff 74bf26 74bf26
biome 240 ffffff 4e8833 4e8833
biome 241 5c5835 314d31 314d31
biome 242 ffffff b6b957 a3a52d
biome 243 ffffff c1b668 c1b668
biome 244 ffffff 53ca37 29bc05
biome 245 ffffff a6bb4e 91a922
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff939393
block 3 * ff866043
block 3 2 ff5a3f1c
block 4 * ff7a7a7a
block 5 * ff9c7f4e
block 5 1 ff674d2e
block 5 2 ffc3b37b
block 5 3 ff9a6e4d
block 5 4 ffa95b33
block 5 5 ff3d2712
block 6 * 6438561c
block 6 0 6b476625
block 6 1 53333a21
block 6 2 6b769654
block 6 3 55305612
block 6 4 4b727314
block 6 8 6b476625
block 6 9 53333a21
block 6 10 6b769654
block 6 11 55305612
block 6 12 4b727314
block 7 * ff535353
block 8 * b32f43f4
block 9 * b32f43f4
block 10 * ffd1530e
block 11 * ffd1530e
block 12 * ffdbd3a0
block 12 1 ffa95821
block 13 * ff7e7c7a
block 14 * ff8f8b7c
block 15 * ff87827e
block 16 * ff737373
block 17 * ff665131
block 17 0 ff9a7d4d
block 17 1 ff685130
block 17 2 ffb8a679
block 17 3 ff997649
block 17 5 ff2d1c0c
block 17 6 ffcecec9
block 17 7 ff57431a
block 17 9 ff2d1c0c
block 17 10 ffcecec9
block 17 11 ff57431a
block 17 13 ff2d1c0c
block 17 14 ffcecec9
block 17 15 ff57431a
block 18 * ff878787
block 18 1 ff2c452c
block 18 2 ff43582d
block 18 3 ff918e86
block 18 5 ff747474
block 18 7 ff918e86
block 18 9 ff747474
block 18 11 ff918e86
block 18 13 ff747474
block 18 15 ff918e86
block 19 * ffc2c354
block 20 * 46daf0f4
block 21 * ff667086
block 22 * ff264389
block 23 * ff606060
block 23 1 ff565656
block 23 9 ff565656
block 24 * ffdad29e
block 25 * ff644332
block 26 * ff8e1616
block 26 8 ffaf7474
block 26 9 ffaf7474
block 26 10 ffaf7474
block 26 11 ffaf7474
block 26 12 ffaf7474
block 26 13 ffaf7474
block 26 14 ffaf7474
block 26 15 ffaf7474
block 27 * ab846c48
block 27 8 ab9a6846
block 27 9 ab9a6846
block 27 10 ab9a6846
block 27 11 ab9a6846
block 27 12 ab9a6846
block 27 13 ab9a6846
block 27 14 ab9a6846
block 27 15 ab9a6846
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * fff9ec4e
block 42 * ffdbdbdb
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff14121d
block 50 * 13826a3a
block 51 * 77d0842a
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff61dbd5
block 58 * ff6b472a
block 59 * a6566607
block 59 0 0500b312
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 60 0 ff734b2d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ffa08443
block 65 * 8f795f34
block 66 * 6b786b56
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffbbbbbb
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 * ff6f3634
block 88 * ff544033
block 89 * ff8f7645
block 90 * bf5a0cc1
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 95 0 7bffffff
block 95 1 7bd87e32
block 95 2 7bb24bd8
block 95 3 7b6599d8
block 95 4 7be4e432
block 95 5 7b7ecb18
block 95 6 7bf17ea4
block 95 7 7b4b4b4b
block 95 8 7b999999
block 95 9 7b4b7e99
block 95 10 7b7e3eb2
block 95 11 7b324bb2
block 95 12 7b654b32
block 95 13 7b657e32
block 95 14 7b993232
block 95 15 7b181818
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 97 3 ff72776a
block 97 4 ff767676
block 97 5 ff767676
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 736d6c6a
block 102 * 46daf0f4
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 0 2a6a0e1e
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * bf5a0cc1
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 4 ffa95b33
block 125 5 ff3d2712
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 125 12 ffa95b33
block 125 13 ff3d2712
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 4 ffa95b33
block 126 5 ff3d2712
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 126 12 ffa95b33
block 126 13 ff3d2712
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff51d975
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 0 0901ab10
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 0 0901ab10
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ffa59594
block 149 0 ff9c9695
block 149 1 ff9c9695
block 149 2 ff9c9695
block 149 3 ff9c9695
block 149 4 ff9c9695
block 149 5 ff9c9695
block 149 6 ff9c9695
block 149 7 ff9c9695
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b685347
block 157 8 9b8d5146
block 157 9 9b8d5146
block 157 10 9b8d5146
block 157 11 9b8d5146
block 157 12 9b8d5146
block 157 13 9b8d5146
block 157 14 9b8d5146
block 157 15 9b8d5146
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 0 7bffffff
block 160 1 7bd87e32
block 160 2 7bb24bd8
block 160 3 7b6599d8
block 160 4 7be4e432
block 160 5 7b7ecb18
block 160 6 7bf17ea4
block 160 7 7b4b4b4b
block 160 8 7b999999
block 160 9 7b4b7e99
block 160 10 7b7e3eb2
block 160 11 7b324bb2
block 160 12 7b654b32
block 160 13 7b657e32
block 160 14 7b993232
block 160 15 7b181818
block 161 * 9a265f0c
block 162 * ff696359
block 162 0 ff9a5b40
block 162 1 ff4e3e29
block 162 2 ff9a5b40
block 162 3 ff4e3e29
block 162 5 ff342817
block 162 7 ff342817
block 162 9 ff342817
block 162 11 ff342817
block 162 13 ff342817
block 162 15 ff342817
block 163 * ffa95b33
block 164 * ff3d2712
block 165 * ff696359
block 165 0 ff9a7d4d
block 165 1 ff685130
block 165 2 ffb8a679
block 165 3 ff997649
block 165 4 ffdbdbdb
block 165 5 ff9a5b40
block 165 6 ff4e3e29
block 165 7 ff9a5b40
block 165 8 ff4e3e29
block 165 10 ff342817
block 165 12 ff342817
block 165 14 ff342817
block 166 * ff98865d
block 166 0 ff978356
block 166 1 ff96865a
block 167 * ff8c7752
block 167 0 ff8e774d
block 167 1 ff8d7a52
block 168 * ff76726a
block 168 0 ff5d5b59
block 168 1 ff605f5e
block 169 * bf705337
block 169 0 ff6b4e33
block 169 1 ff654a32
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa5c2f5
block 175 * 33416d2b
block 175 1 568e9484
block 175 2 8a7a7a7a
block 175 3 9e7b7b7b
block 175 4 b9454003
block 175 5 9336583b
block 176 * ffe2ded6
block 176 0 ff9c7f4e
block 176 1 ff9c7f4e
block 177 * 8f908064
block 177 0 ff917d59
block 177 1 ff917d59
block 178 * ff674040
block 179 * 0f827050
block 180 * ffe2ded6
block 180 0 ff9c7f4e
block 180 1 ff9c7f4e
block 181 * 8f908064
block 181 0 ff917d59
block 181 1 ff917d59
block 182 * ff6b4e33
block 183 * ff4eaf5b
block 183 1 ffbb8d57
block 183 2 ffca6c60
block 184 * ff6b4e33
block 185 * ff6b4e33
block 187 * 5c444444
block 188 * ff4d3d2c
block 189 * bf5f4c34
block 189 0 ff695739
block 189 1 ff695739
block 191 * bf2a61a1
block 192 * ff9d9d9d
block 192 2 ff879493
block 192 3 ff879493
block 193 * ff62767e
block 194 * ff72a684
block 195 * ffa99b41
block 196 * ffbfb157
block 197 * ffccc67b
block 198 * ffb7b9ce
block 199 * a6f2f2f2
block 199 1 cc8cc6fa
block 199 2 ccebd684
block 199 3 beb0e96d
block 199 4 ce46628f
block 200 0 bfba78ff
block 200 1 bfbb7cff
block 200 2 bfc58eff
block 200 3 bfba78ff
block 200 4 bfba78ff
block 200 5 bfbb7cff
block 200 6 bfc58eff
block 200 7 bfba78ff
block 201 * bcc1c7e2
block 202 * ff9d9d9d
block 203 * ff313227
block 204 * ff5a5a42
block 204 0 ff977e4f
block 204 1 ff977e4f
block 204 2 ff977e4f
block 204 3 ff977e4f
block 204 6 ff585536
block 204 7 ff585536
block 204 10 ff585536
block 204 11 ff585536
block 204 14 ff585536
block 204 15 ff585536
block 205 * ff565640
block 206 * a57ea651
block 207 * a5aaab3c
block 208 * 6b62733b
block 209 * 6b898233
block 210 * ffa0a18d
block 211 * 1979783f
block 212 * ff958f9c
block 213 * ffa1929d
block 214 * ff997b90
block 215 * ff787878
block 216 * ff565640
block 217 * ff787878
block 218 * ff737379
block 219 * ff737378
block 220 * ff6e6f7a
block 221 * ffe7e0c7
block 221 0 fff6efd7
block 221 1 fff6efd7
block 221 2 fff6efd7
block 221 3 fff6efd7
block 221 4 ffe0d9c0
block 221 8 ffe0d9c0
block 221 12 ffe0d9c0
block 222 * ff6a6a6a
block 222 0 ff777777
block 222 1 ff777777
block 222 2 ff777777
block 222 3 ff777777
block 223 * ff6e36bb
block 224 * 746f6c80
block 225 * 1dafc0b7
block 226 * 1e65688e
block 227 * ff667516
block 228 * d0617c50
block 229 * c05b643c
block 230 * ff9d9d9d
block 231 * ff879493
block 232 * ffb7b9ce
block 233 * ff565640
block 234 * ff787878
block 235 * ff9d9d9d
block 236 * ff879493
block 237 * ffb7b9ce
block 238 * ff565640
block 239 * ff787878
block 240 * ff8d8d8d
block 241 * ff977e4f
block 242 * a2629474
block 243 * a5547c8b
block 244 * a543a6b3
block 245 * 6b3c6c6a
block 246 * ff565640
block 247 * ff787878
block 248 * a579618d
block 249 * b9786588
block 250 * 6b564a59
block 251 0 316a7d40
block 251 1 5565773e
block 251 2 5b64753f
block 251 3 685e6d3b
block 251 4 b1677941
block 251 5 72676e37
block 251 6 c5727739
block 252 * ffa39b8f
block 253 * 6b485957
block 254 * ff333224
block 255 * ff906f6f
block 409 * ff737378
block 410 * ff737378
block 411 * 998fdbde
block 412 * ff787878
block 413 * ff4f4f34
block 414 * ff565640
block 415 * bcc1c7e2
block 416 * ff737379
block 423 * ff8d8d8d
block 424 * ff6e6f7a
block 425 * bcc1c7e2
block 426 * ff737379
block 427 * ff8d8d8d
block 428 * ff6e6f7a
block 429 * 8f5b5a42
block 430 * ff565640
block 431 * ff565640
block 432 * ff67777c
block 432 0 ff3c5c67
block 432 1 ff3c5c67
block 432 2 ff3c5c67
block 432 3 ff3c5c67
block 432 4 ff3c5c67
block 432 5 ff3c5c67
block 432 6 ff3c5c67
block 432 7 ff3c5c67
block 433 * ff55545c
block 434 * db585938
block 435 * ff565640
block 436 * 746f6c80
block 437 * ff878787
block 438 * ff878787
block 439 * 9b1a2731
block 440 * ff565640
block 441 * ff565640
block 442 * ff9d9d9d
block 443 * ff9d9d9d
block 444 * ff879493
block 445 * ff879493
block 446 * ffb7b9ce
block 447 * ffb7b9ce
block 448 * ff8d8d8d
block 449 * ff8d8d8d
block 450 * ff787878
block 451 * ff787878
block 452 * ff737379
block 453 * ff737379
block 454 * ff737378
block 455 * ff737378
block 456 * ff6e6f7a
block 457 * ff6e6f7a
block 458 * bcc1c7e2
block 459 * bcc1c7e2
block 460 * fd664c1d
block 461 * ff9c7f4e
block 462 * ff866043
block 462 2 ff5a3f1c
block 463 * ff866043
block 463 2 ff5a3f1c
block 464 * ff9c7f4e
block 465 0 ff9c7f4e
block 465 1 ffdbdbdb
block 466 0 ff9c7f4e
block 466 1 ffdbdbdb
block 467 0 ff9c7f4e
block 467 1 ffdbdbdb
block 468 * ff9c7f4e
block 469 * ff9c7f4e
block 470 * ff9c7f4e
block 471 * ff9c7f4e
block 472 * ff9c7f4e
block 473 * 3600be10
block 473 0 0901ab10
block 473 1 0901ab10
block 473 2 1701bb0f
block 473 3 1701bb0f
block 473 4 1701bb0f
block 473 7 6922aa24
block 473 8 1701bb0f
block 473 9 1701bb0f
block 473 15 6922aa24
block 474 * 3600be10
block 474 0 0901ab10
block 474 1 0901ab10
block 474 2 1701bb0f
block 474 3 1701bb0f
block 474 4 1701bb0f
block 474 7 6f158002
block 474 8 1701bb0f
block 474 9 1701bb0f
block 474 15 6f158002
block 475 * 5f94bf64
block 475 0 0f91bc63
block 475 1 0f91bc63
block 475 2 3393bf63
block 475 3 3393bf63
block 475 4 3393bf63
block 475 7 8c94c065
block 475 8 3393bf63
block 475 9 3393bf63
block 475 15 8c94c065
block 476 * 33158300
block 476 0 07137500
block 476 1 07137500
block 476 2 17126f00
block 476 3 17126f00
block 476 4 17126f00
block 476 7 3d6ca200
block 476 8 17126f00
block 476 9 17126f00
block 476 15 3d6ca200
block 477 * 2b147e00
block 477 0 0b127200
block 477 1 0b127200
block 477 2 17147e00
block 477 3 17147e00
block 477 4 17147e00
block 477 7 45643904
block 477 8 17147e00
block 477 9 17147e00
block 477 15 45643904
block 478 * 2d38a80a
block 478 0 051f7f07
block 478 1 051f7f07
block 478 2 13268107
block 478 3 13268107
block 478 4 13268107
block 478 7 2d25988a
block 478 8 13268107
block 478 9 13268107
block 478 15 2d25988a
block 479 * 1f76b952
block 479 0 0377ba53
block 479 1 0377ba53
block 479 2 0f79bc55
block 479 3 0f79bc55
block 479 4 0f79bc55
block 479 7 47b68ade
block 479 8 0f79bc55
block 479 9 0f79bc55
block 479 15 47b68ade
block 480 * 5f519b2d
block 480 0 11509a2c
block 480 1 11509a2c
block 480 2 3b549e30
block 480 3 3b549e30
block 480 4 3b549e30
block 480 7 61678726
block 480 8 3b549e30
block 480 9 3b549e30
block 480 15 61678726
block 481 * 5f519b2d
block 481 0 11509a2c
block 481 1 11509a2c
block 481 2 3b549e30
block 481 3 3b549e30
block 481 4 3b549e30
block 481 7 635f8620
block 481 8 3b549e30
block 481 9 3b549e30
block 481 15 635f8620
block 482 * 5f519b2d
block 482 0 11509a2c
block 482 1 11509a2c
block 482 2 3b549e30
block 482 3 3b549e30
block 482 4 3b549e30
block 482 7 5b609a44
block 482 8 3b549e30
block 482 9 3b549e30
block 482 15 5b609a44
block 483 * 5f519b2d
block 483 0 11509a2c
block 483 1 11509a2c
block 483 2 3b549e30
block 483 3 3b549e30
block 483 4 3b549e30
block 483 7 5d66964a
block 483 8 3b549e30
block 483 9 3b549e30
block 483 15 5d66964a
block 484 * 31448823
block 484 0 113e811d
block 484 1 113e811d
block 484 2 27438721
block 484 3 27438721
block 484 4 27438721
block 484 7 57b0c58b
block 484 8 27438721
block 484 9 27438721
block 484 15 57b0c58b
block 485 * 730a5113
block 485 0 230b5514
block 485 1 230b5514
block 485 2 470b5314
block 485 3 470b5314
block 485 4 470b5314
block 485 7 8f0a4f13
block 485 8 470b5314
block 485 9 470b5314
block 485 15 8f0a4f13
block 486 * 2bcd3739
block 486 0 03693637
block 486 1 03693637
block 486 2 1fce3c3f
block 486 3 1fce3c3f
block 486 4 1fce3c3f
block 486 7 43c33538
block 486 8 1fce3c3f
block 486 9 1fce3c3f
block 486 15 43c33538
block 487 * 1b846653
block 487 0 03584d46
block 487 1 03584d46
block 487 2 0f95725c
block 487 3 0f95725c
block 487 4 0f95725c
block 487 7 338a6953
block 487 8 0f95725c
block 487 9 0f95725c
block 487 15 338a6953
block 488 * ff3f3f3f
block 490 * ff7f0605
block 491 * fff8f8f8
block 492 * 78959595
block 492 0 fff8f8f8
block 493 * 78959595
block 493 0 fff8f8f8
block 494 * 78959595
block 494 0 80f8f8f8
block 495 * 78959595
block 495 0 80f8f8f8
block 496 * ff3b3d3c
block 497 * fff8f8f8
block 498 * fff8f8f8
block 499 * ff6f1818
block 500 * ff8a8792
block 500 4 ffffffff
block 501 * ff767676
block 502 * 06000000
block 503 * 27d900d9
block 504 * 27763576
block 505 * 27d900d9
block 506 * 27d900d9
